Sex,Piped Water,Boreholes,Protected Well/Spring,Gravity Flow Scheme,Unimproved Sources,All Sources
  Rural,18.7,33.6,16.8,1.2,29.8,100
  Urban,22.2,33.3,16.1,1.1,27.4,100
