Sex of Head,Inside specific room,Inside no specific room,Outside built,Make shift,Open space,No specific room,Total
Male,7.7,6.8,51.9,9.2,24.3,0.1,100
Female,7.5,7.8,48.5,9.6,26.5,0.1,100
