Temporary Materials,88.2,73.8,56.3
   Mud and Pole,75.2,49.4,33.6
   Unburnt Bricks with cement,0,2.3,2.6
   Unburnt Bricks with mud,9.1,19.7,17.2
   Wood,0.6,1.3,1.4
   Tin/iron sheets,0,0,0.3
   Others,3.3,1.1,1.2
