Number of Rooms for Sleeping,1991,2002,2014
 One  ,35.6,49.9,47.1
 Two ,23.9,28.8,29.2
 Three ,17.1,15.3,16.3
 Four ,14.2,4.3,5.1
 Five ,4.7,1.1,1.3
More than five,4.6,0.8,1
Total ,100,100,100
