 Sex of Head,On Premises,Less than 1/2 km,1/2 to 1 km,1 to 3 km,3 to 5 km,5 to 10 km,Total
Male,27.6,13.6,31.7,21.3,4.1,1.7,100
Female,30.8,13.5,30.5,19.9,3.7,1.6,100
