Type of floor Materials,1991,2002,2014
Type of floor Materials,1991,2002,2014
Permanent Materials,14,21.7,66.7
Concrete,3,3.4,0.4
Brick,0.2,0.7,0.3
Stone,0,0.4,30.8
Cement screed,10.6,17.2,34
Total,100,100,100
