Age Group,1991,2002,2014
0-14,47.3,49.3,47.9
0 - 4,18.9,18.6,17.7
09-May,15,16.4,16
14-Oct,13.3,14.4,14.2
15-64,49.3,47.7,49.2
15 - 19,10.8,11.1,11.4
20 - 24,9.2,8.9,9.2
25 - 29,7.7,7.3,7.2
30 - 34,5.7,5.8,5.6
35 - 39,4.2,4.2,4.4
40 - 44,3.2,3.4,3.7
45 - 49,2.7,2.2,2.7
50 - 54,2.6,2,2.3
55 - 59,1.6,1.3,1.4
60 - 64,1.7,1.5,1.3
65+,3.3,3,2.7
65 - 69,1.1,0.9,0.9
70 - 74,1,0.9,0.8
75+,1.3,1.2,1
Total,100,100,100
