District, Male  1991, Female  1991, Total 1991, Male 2002, Female 2002, Total 2002, Male 2014, Female  2014, Total  2014
Kanungu,77534,83174,160708,98627,106105,204732,121873,130271,252144
Kasese,167672,175929,343601,252792,270241,523033,339455,355537,694992
Kibaale,109756,110505,220261,200131,205751,405882,391185,393903,785088
Kiruhura,72132,68814,140946,107376,104843,212219,166935,161142,328077
Kiryandongo,41536,41869,83405,92617,95090,187707,133701,132496,266197
Kisoro,86406,100275,186681,99443,120869,220312,126643,155062,281705
Kyegegwa,31735,31812,63547,55150,55775,110925,141043,140594,281637
Kyenjojo,89975,92051,182026,131421,134825,266246,210900,211304,422204
Masindi,66403,63279,129682,105933,102487,208420,150522,140591,291113
Mbarara,131699,135758,267457,176959,184518,361477,233492,239137,472629
Mitooma,63892,70359,134251,75543,85259,160802,86771,96673,183444
Ntoroko,12545,11710,24255,25214,25855,51069,34174,32831,67005
Ntungamo,146740,158459,305199,181835,198152,379987,234822,249019,483841
Rubirizi,37176,38185,75361,49037,52767,101804,62135,67014,129149
Rukungiri,110351,119721,230072,131052,144110,275162,152070,162624,314694
Sheema,73061,79948,153009,86561,93673,180234,101032,106311,207343
Total,8185747,8485558,16671705,11824273,12403024,24227297,17060832,17573818,34634650
